acronym,full_name,division,description
VTA,Ventral tegmental area,MB,"Major source of mesolimbic and mesocortical dopamine projecting to nucleus accumbens and prefrontal cortex. Central to reward, motivation, and reinforcement learning."
PPN,Pedunculopontine nucleus,MB,"Cholinergic and glutamatergic brainstem nucleus at the midbrain-pons junction. Involved in locomotion, arousal, and REM sleep; a target for deep brain stimulation in gait disorders."
CUN,Cuneiform nucleus,MB,"Midbrain nucleus in the locomotor region involved in initiating and modulating locomotion. Also participates in defensive and escape behaviors via PAG connections."
RN,Red nucleus,MB,"Midbrain motor nucleus receiving cerebellar and cortical input. Contributes to limb motor control via the rubrospinal tract, particularly in reaching and grasping movements."
IPN,Interpeduncular nucleus,MB,"Midline nucleus receiving the fasciculus retroflexus from the habenula. Involved in aversion, fear, nicotine withdrawal, and modulation of dopaminergic and serotonergic systems."
NPC,Nucleus of the posterior commissure,MB,"Small nucleus associated with the posterior commissure fiber tract. Involved in pupillary light reflex and vertical gaze coordination."
NOT,Nucleus of the optic tract,MB,"Pretectal nucleus receiving direct retinal input. Drives the optokinetic reflex for image stabilization during slow head movements."
DR,Dorsal raphe nucleus,MB,"Largest serotonergic nucleus in the brain with widespread ascending projections. Modulates mood, anxiety, reward, sleep, and feeding; primary target of SSRI antidepressants."
PPT,Posterior pretectal nucleus,MB,"Pretectal nucleus involved in visual processing and pupillary responses. Contributes to the pretectal circuitry for luminance detection and pupillary constriction."
RR,Retrorubral area,MB,"Dopaminergic cell group (A8) caudal to the substantia nigra. Supplements nigrostriatal and mesolimbic dopamine projections involved in motor and motivational functions."
NB,Nucleus of the brachium of the inferior colliculus,MB,"Relay nucleus in the auditory pathway connecting the inferior colliculus to the medial geniculate body. Processes auditory information ascending to the thalamus."
SAG,Nucleus sagulum,MB,"Small nucleus in the lateral midbrain tegmentum near the lateral lemniscus. Involved in auditory processing and multisensory integration."
IF,Interfascicular nucleus raphe,MB,"Midline raphe nucleus containing dopaminergic and serotonergic neurons. Part of the ventral tegmental dopamine system contributing to reward and motivation circuits."
CLI,Central linear nucleus raphe,MB,"Raphe nucleus containing dopaminergic neurons adjacent to the VTA. Contributes to the mesolimbic dopamine system and modulates reward processing."
PBG,Parabigeminal nucleus,MB,"Cholinergic nucleus reciprocally connected with the superior colliculus. Modulates visual attention and enhances stimulus detection in the tectal visual map."
AT,Anterior tegmental nucleus,MB,"Small tegmental nucleus in the ventral midbrain. Involved in limbic-motor integration and connected with the mammillary bodies and hypothalamus."
VTN,Ventral tegmental nucleus,MB,"Tegmental nucleus involved in spatial navigation and head direction signaling. Relays vestibular and cerebellar information to the mammillary bodies."
RL,Rostral linear nucleus raphe,MB,"Raphe nucleus containing dopaminergic and serotonergic neurons. Part of the ventral midbrain dopamine system with projections to limbic structures."
MPT,Medial pretectal area,MB,"Pretectal region involved in visual processing and pupillary reflexes. Receives retinal input and contributes to non-image-forming visual functions."
MT,Medial terminal nucleus of the accessory optic tract,MB,"Accessory optic nucleus detecting global visual motion for image stabilization. Drives compensatory eye movements in response to self-motion."
OP,Olivary pretectal nucleus,MB,"Central nucleus in the pupillary light reflex pathway receiving bilateral retinal input. Projects to the Edinger-Westphal nucleus to drive pupillary constriction."
LT,Lateral terminal nucleus of the accessory optic tract,MB,"Accessory optic nucleus encoding global visual motion. Contributes to optokinetic and vestibulo-ocular reflexes for retinal image stabilization."
III,Oculomotor nucleus,MB,"Motor nucleus innervating four of six extraocular muscles plus the levator palpebrae. Controls most voluntary eye movements and eyelid elevation."
RPF,Retroparafascicular nucleus,MB,"Small nucleus posterior to the parafascicular nucleus. Involved in nociceptive processing and autonomic regulation via connections with the thalamus and hypothalamus."
SCO,Subcommissural organ,MB,"Ependymal secretory organ at the entrance to the cerebral aqueduct. Produces SCO-spondin glycoprotein involved in cerebrospinal fluid homeostasis and brain development."
PN,Paranigral nucleus,MB,"Dopaminergic cell group medial to the VTA. Part of the mesolimbic dopamine system projecting to limbic structures for reward and motivational processing."
Pa4,Paratrochlear nucleus,MB,"Small nucleus adjacent to the trochlear nucleus. Contains accessory oculomotor neurons involved in coordinating eye movements."
EW,Edinger-Westphal nucleus,MB,"Parasympathetic preganglionic nucleus controlling pupillary constriction and lens accommodation. Also contains centrally projecting urocortin neurons involved in stress and feeding."
MA3,Medial accessory oculomotor nucleus,MB,"Accessory nucleus associated with the oculomotor complex. Contains neurons coordinating vergence eye movements and near-response accommodation."
DT,Dorsal terminal nucleus of the accessory optic tract,MB,"Accessory optic nucleus detecting vertical global visual motion. Contributes to compensatory eye movements for retinal image stabilization during vertical head movements."
IV,Trochlear nucleus,MB,"Smallest cranial nerve motor nucleus innervating the superior oblique muscle. Unique in that its axons decussate and exit dorsally from the brainstem."
